dimension,ground_truth_variant,n,rho,p,ci_lo_95,ci_hi_95
acknowledgment,Q1 ground truth,740,0.3204,0.0,0.2557,0.3862
acknowledgment,Majority winner (Pro/Con),532,0.1146,0.00815,0.0319,0.1987
acknowledgment,Majority winner,285,0.1689,0.00423,0.0586,0.2789
accuracy_of_representation,Q1 ground truth,740,0.2559,0.0,0.1872,0.325
accuracy_of_representation,Majority winner (Pro/Con),532,0.0384,0.37634,-0.0446,0.1233
accuracy_of_representation,Majority winner,285,0.041,0.4909,-0.0692,0.1538
responsiveness,Q1 ground truth,740,0.3304,0.0,0.264,0.3937
responsiveness,Majority winner (Pro/Con),532,0.1293,0.00281,0.0473,0.2167
responsiveness,Majority winner,285,0.1826,0.00197,0.0694,0.2913
concession_and_common_ground,Q1 ground truth,740,-0.0177,0.63022,-0.0901,0.057
concession_and_common_ground,Majority winner (Pro/Con),532,-0.0452,0.29853,-0.1336,0.0398
concession_and_common_ground,Majority winner,285,-0.0079,0.89395,-0.1172,0.112
respectful_engagement,Q1 ground truth,740,0.0824,0.02503,0.0104,0.1563
respectful_engagement,Majority winner (Pro/Con),532,-0.0031,0.9423,-0.085,0.0813
respectful_engagement,Majority winner,285,0.0253,0.67079,-0.0918,0.1435
